horas_semana,velocidad_alta,plazos_ajustados,demanda_emocional,presentismo,apoyo_jefe,apoyo_companeros,reconocimiento,conciliacion,bienestar_who5,tamanio_empresa,sector,nivel_educativo,teletrabajo
42.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,64.0,4.0,1,3.0,1.0
45.0,1.0,3.0,1.0,2.0,4.0,4.0,5.0,5.0,60.0,4.0,1,4.0,5.0
30.0,3.0,4.0,1.0,2.0,5.0,5.0,5.0,4.0,72.0,4.0,1,5.0,1.0
40.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,100.0,3.0,1,1.0,1.0
35.0,3.0,5.0,1.0,2.0,5.0,4.0,5.0,4.0,56.0,3.0,1,4.0,1.0
40.0,3.0,3.0,1.0,2.0,5.0,4.0,5.0,4.0,76.0,2.0,1,1.0,1.0
40.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,100.0,5.0,1,1.0,1.0
40.0,4.0,3.0,3.0,1.0,5.0,5.0,4.0,3.0,52.0,6.0,1,4.0,1.0
40.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,5.0,60.0,6.0,1,6.0,5.0
30.0,5.0,5.0,1.0,2.0,4.0,5.0,4.0,5.0,84.0,3.0,1,6.0,1.0
40.0,3.0,3.0,1.0,2.0,5.0,5.0,5.0,4.0,96.0,3.0,1,2.0,1.0
40.0,5.0,5.0,3.0,1.0,4.0,2.0,4.0,3.0,56.0,4.0,1,3.0,1.0
40.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,4.0,80.0,2.0,1,5.0,1.0
39.0,1.0,3.0,3.0,2.0,3.0,5.0,2.0,4.0,80.0,3.0,1,2.0,1.0
7.0,3.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,96.0,3.0,1,6.0,1.0
40.0,3.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,84.0,4.0,1,3.0,1.0
40.0,2.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,96.0,4.0,1,5.0,1.0
40.0,3.0,4.0,2.0,2.0,5.0,5.0,5.0,2.0,88.0,4.0,1,5.0,1.0
40.0,2.0,3.0,2.0,2.0,5.0,5.0,1.0,4.0,48.0,5.0,1,3.0,1.0
45.0,5.0,5.0,3.0,2.0,4.0,5.0,5.0,3.0,44.0,6.0,1,9.0,3.0
40.0,5.0,1.0,1.0,2.0,1.0,5.0,4.0,4.0,92.0,4.0,1,4.0,1.0
39.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,4.0,40.0,6.0,7,7.0,4.0
40.0,3.0,1.0,1.0,2.0,5.0,5.0,3.0,5.0,64.0,7.0,7,3.0,1.0
48.0,5.0,4.0,2.0,1.0,4.0,4.0,2.0,3.0,56.0,6.0,7,5.0,1.0
48.0,5.0,4.0,3.0,2.0,2.0,5.0,4.0,4.0,60.0,6.0,7,6.0,1.0
40.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,3.0,76.0,6.0,7,3.0,1.0
30.0,1.0,1.0,1.0,2.0,5.0,5.0,4.0,5.0,80.0,4.0,7,5.0,1.0
50.0,1.0,3.0,1.0,2.0,5.0,5.0,5.0,4.0,56.0,8.0,7,7.0,6.0
40.0,5.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,56.0,8.0,7,3.0,1.0
40.0,5.0,3.0,4.0,2.0,2.0,5.0,1.0,2.0,32.0,4.0,7,7.0,1.0
40.0,3.0,1.0,1.0,2.0,5.0,5.0,4.0,5.0,40.0,4.0,7,3.0,1.0
45.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,64.0,8.0,7,5.0,4.0
40.0,4.0,2.0,1.0,2.0,5.0,5.0,4.0,3.0,84.0,5.0,7,8.0,2.0
40.0,5.0,5.0,3.0,2.0,4.0,4.0,3.0,5.0,56.0,8.0,7,5.0,1.0
40.0,5.0,5.0,5.0,2.0,1.0,2.0,1.0,2.0,48.0,6.0,7,3.0,1.0
40.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,76.0,6.0,7,4.0,1.0
42.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,56.0,7.0,7,5.0,4.0
40.0,1.0,1.0,2.0,2.0,4.0,4.0,5.0,4.0,52.0,4.0,7,9.0,2.0
40.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0,3.0,44.0,5.0,7,7.0,1.0
40.0,5.0,4.0,1.0,2.0,1.0,3.0,1.0,5.0,84.0,7.0,7,3.0,1.0
