burnout,horas_semana,velocidad_alta,plazos_ajustados,demanda_emocional,presentismo,autonomia,apoyo_jefe,apoyo_companeros,reconocimiento,conciliacion,bienestar_who5,tamanio_empresa,sector,nivel_educativo,genero,teletrabajo,tipo_contrato,ocupacion_isco,edad,burnout_bin
,42.0,2.0,2.0,1.0,2.0,,,,5.0,5.0,92.0,1.0,1,3.0,1,1.0,,6,48.0,
,42.0,2.0,2.0,1.0,1.0,,5.0,5.0,5.0,5.0,64.0,4.0,1,3.0,1,1.0,4.0,9,18.0,
,72.0,4.0,4.0,3.0,1.0,4.33,,,4.0,4.0,64.0,2.0,1,4.0,1,1.0,,1,55.0,
,50.0,2.0,2.0,2.0,2.0,5.0,,,4.0,4.0,52.0,1.0,1,2.0,1,1.0,,6,54.0,
4.0,40.0,3.0,5.0,3.0,2.0,3.0,,5.0,5.0,4.0,76.0,5.0,1,5.0,1,2.0,6.0,9,27.0,1.0
2.0,40.0,2.0,1.0,2.0,2.0,5.0,,5.0,5.0,5.0,92.0,4.0,1,2.0,1,5.0,1.0,6,39.0,0.0
,45.0,1.0,3.0,1.0,2.0,2.33,4.0,4.0,5.0,5.0,60.0,4.0,1,4.0,1,5.0,1.0,6,57.0,
,42.0,3.0,5.0,1.0,2.0,3.33,,,2.0,4.0,88.0,1.0,1,4.0,1,1.0,,3,65.0,
,30.0,3.0,4.0,1.0,2.0,,5.0,5.0,5.0,4.0,72.0,4.0,1,5.0,2,1.0,2.0,9,55.0,
,40.0,3.0,4.0,3.0,1.0,3.33,,,1.0,4.0,56.0,1.0,1,5.0,1,1.0,,6,40.0,
2.0,55.0,5.0,2.0,3.0,2.0,2.67,,5.0,4.0,4.0,60.0,8.0,1,3.0,1,1.0,1.0,6,35.0,0.0
,40.0,1.0,2.0,2.0,2.0,3.33,,,3.0,4.0,84.0,2.0,1,4.0,1,1.0,,6,19.0,
4.0,60.0,5.0,5.0,4.0,1.0,3.33,,,1.0,4.0,72.0,2.0,1,4.0,1,1.0,,7,27.0,1.0
2.0,40.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,100.0,3.0,1,1.0,1,1.0,1.0,6,45.0,0.0
,40.0,4.0,1.0,1.0,2.0,3.33,,,5.0,4.0,96.0,2.0,1,3.0,2,1.0,,6,54.0,
,60.0,4.0,5.0,1.0,1.0,1.0,,,2.0,4.0,88.0,1.0,1,1.0,1,1.0,,6,59.0,
,36.0,1.0,5.0,5.0,2.0,3.0,,5.0,5.0,5.0,68.0,5.0,1,5.0,1,2.0,1.0,6,40.0,
2.0,50.0,2.0,2.0,2.0,2.0,5.0,,,4.0,5.0,92.0,4.0,1,7.0,1,1.0,,1,43.0,0.0
,35.0,3.0,2.0,1.0,2.0,,,,5.0,5.0,100.0,2.0,1,7.0,1,1.0,,6,25.0,
3.0,40.0,5.0,1.0,4.0,1.0,,,4.0,5.0,2.0,40.0,4.0,1,3.0,1,1.0,2.0,9,37.0,1.0
2.0,35.0,2.0,2.0,1.0,2.0,4.0,,5.0,4.0,4.0,64.0,2.0,1,3.0,1,1.0,1.0,6,63.0,0.0
3.0,24.0,5.0,3.0,2.0,2.0,4.0,,,5.0,4.0,80.0,1.0,1,5.0,1,2.0,1.0,6,41.0,1.0
3.0,35.0,3.0,5.0,1.0,2.0,,5.0,4.0,5.0,4.0,56.0,3.0,1,4.0,1,1.0,2.0,6,41.0,1.0
3.0,40.0,5.0,3.0,3.0,1.0,4.33,3.0,,5.0,4.0,52.0,1.0,1,2.0,1,1.0,6.0,6,47.0,1.0
,40.0,1.0,1.0,1.0,2.0,1.0,,3.0,1.0,4.0,96.0,4.0,1,4.0,2,1.0,6.0,9,40.0,
,40.0,3.0,3.0,1.0,2.0,,5.0,4.0,5.0,4.0,76.0,2.0,1,1.0,1,1.0,1.0,6,60.0,
,40.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,4.0,100.0,5.0,1,1.0,1,1.0,1.0,6,37.0,
,40.0,4.0,3.0,3.0,1.0,1.0,5.0,5.0,4.0,3.0,52.0,6.0,1,4.0,1,1.0,2.0,6,31.0,
,40.0,2.0,1.0,3.0,2.0,,4.0,4.0,4.0,5.0,60.0,6.0,1,6.0,1,5.0,1.0,3,44.0,
,36.0,2.0,2.0,2.0,2.0,4.0,,,4.0,5.0,80.0,1.0,1,5.0,1,1.0,1.0,6,61.0,
4.0,40.0,3.0,2.0,2.0,2.0,4.0,,,4.0,3.0,68.0,1.0,1,5.0,1,1.0,,6,56.0,1.0
4.0,48.0,4.0,4.0,3.0,1.0,3.67,,,5.0,4.0,52.0,3.0,1,3.0,2,1.0,,6,57.0,1.0
,50.0,4.0,3.0,2.0,1.0,2.67,,,4.0,4.0,68.0,1.0,1,5.0,1,1.0,,6,54.0,
2.0,40.0,5.0,5.0,3.0,1.0,5.0,,,3.0,4.0,60.0,1.0,1,2.0,1,1.0,,6,33.0,0.0
3.0,54.0,5.0,5.0,1.0,1.0,5.0,,3.0,2.0,5.0,84.0,5.0,1,2.0,1,1.0,1.0,9,38.0,1.0
2.0,30.0,5.0,5.0,1.0,2.0,1.67,4.0,5.0,4.0,5.0,84.0,3.0,1,6.0,2,1.0,2.0,9,47.0,0.0
,60.0,3.0,3.0,1.0,1.0,3.0,,,4.0,4.0,80.0,2.0,1,3.0,1,1.0,,6,59.0,
,40.0,3.0,3.0,1.0,2.0,,5.0,5.0,5.0,4.0,96.0,3.0,1,2.0,1,1.0,1.0,8,61.0,
,45.0,2.0,5.0,2.0,2.0,,,,5.0,4.0,76.0,2.0,1,5.0,1,1.0,,6,50.0,
2.0,40.0,4.0,5.0,2.0,2.0,4.0,,5.0,5.0,3.0,68.0,6.0,1,8.0,2,5.0,1.0,2,29.0,0.0
,40.0,5.0,5.0,3.0,1.0,1.67,4.0,2.0,4.0,3.0,56.0,4.0,1,3.0,1,1.0,1.0,8,36.0,
,40.0,2.0,3.0,2.0,2.0,,5.0,5.0,5.0,4.0,80.0,2.0,1,5.0,1,1.0,1.0,9,29.0,
,39.0,1.0,3.0,3.0,2.0,2.33,3.0,5.0,2.0,4.0,80.0,3.0,1,2.0,1,1.0,1.0,6,35.0,
,45.0,5.0,2.0,1.0,2.0,1.33,,5.0,1.0,4.0,44.0,4.0,1,6.0,1,1.0,6.0,6,46.0,
3.0,62.0,4.0,4.0,1.0,1.0,,,,1.0,4.0,68.0,1.0,1,5.0,1,1.0,,6,26.0,1.0
,7.0,3.0,3.0,1.0,2.0,3.67,5.0,5.0,5.0,5.0,96.0,3.0,1,6.0,2,1.0,,6,42.0,
,40.0,3.0,3.0,1.0,2.0,,5.0,5.0,5.0,5.0,84.0,4.0,1,3.0,2,1.0,1.0,6,55.0,
2.0,50.0,2.0,2.0,1.0,2.0,1.67,,5.0,5.0,4.0,84.0,4.0,1,2.0,1,5.0,1.0,6,52.0,0.0
2.0,40.0,2.0,1.0,2.0,2.0,3.67,5.0,5.0,5.0,5.0,96.0,4.0,1,5.0,1,1.0,2.0,8,22.0,0.0
,46.0,3.0,3.0,1.0,2.0,3.67,,,4.0,4.0,60.0,7.0,1,7.0,2,1.0,,3,45.0,
4.0,72.0,3.0,3.0,3.0,2.0,,,,5.0,4.0,40.0,2.0,1,5.0,1,1.0,,5,50.0,1.0
,40.0,3.0,4.0,2.0,2.0,,5.0,5.0,5.0,2.0,88.0,4.0,1,5.0,1,1.0,1.0,6,57.0,
,40.0,3.0,1.0,1.0,1.0,,,,5.0,4.0,76.0,1.0,1,5.0,2,1.0,,6,54.0,
,72.0,5.0,5.0,3.0,1.0,,,,2.0,2.0,84.0,1.0,1,3.0,1,1.0,,6,55.0,
2.0,40.0,2.0,3.0,2.0,2.0,2.67,5.0,5.0,1.0,4.0,48.0,5.0,1,3.0,1,1.0,6.0,6,42.0,0.0
,40.0,1.0,2.0,3.0,2.0,1.67,,2.0,5.0,2.0,56.0,4.0,1,2.0,1,1.0,5.0,6,55.0,
,45.0,5.0,5.0,3.0,2.0,,4.0,5.0,5.0,3.0,44.0,6.0,1,9.0,2,3.0,2.0,1,28.0,
,32.0,3.0,3.0,3.0,2.0,,,,4.0,4.0,60.0,1.0,1,5.0,1,1.0,,6,44.0,
,40.0,5.0,1.0,1.0,2.0,,1.0,5.0,4.0,4.0,92.0,4.0,1,4.0,1,1.0,3.0,9,20.0,
,36.0,2.0,1.0,1.0,2.0,,,,3.0,5.0,100.0,2.0,7,3.0,1,1.0,,8,54.0,
4.0,39.0,5.0,5.0,2.0,2.0,,5.0,5.0,5.0,4.0,40.0,6.0,7,7.0,2,4.0,1.0,4,46.0,1.0
2.0,40.0,3.0,4.0,2.0,2.0,4.0,,4.0,4.0,4.0,52.0,8.0,7,4.0,1,2.0,1.0,5,59.0,0.0
4.0,40.0,3.0,1.0,1.0,2.0,2.33,5.0,5.0,3.0,5.0,64.0,7.0,7,3.0,1,1.0,1.0,8,42.0,1.0
2.0,40.0,1.0,1.0,2.0,1.0,1.0,,5.0,5.0,4.0,84.0,8.0,7,5.0,1,2.0,1.0,8,49.0,0.0
,50.0,5.0,5.0,1.0,2.0,5.0,,5.0,5.0,5.0,72.0,4.0,7,9.0,2,2.0,1.0,1,35.0,
,48.0,5.0,4.0,2.0,1.0,,4.0,4.0,2.0,3.0,56.0,6.0,7,5.0,2,1.0,1.0,8,48.0,
,48.0,5.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0,4.0,60.0,6.0,7,6.0,2,1.0,1.0,2,34.0,
2.0,40.0,2.0,2.0,3.0,2.0,,,,4.0,5.0,68.0,5.0,7,3.0,1,1.0,,1,24.0,0.0
,40.0,2.0,2.0,1.0,2.0,3.67,,5.0,5.0,5.0,96.0,3.0,7,3.0,1,1.0,1.0,9,48.0,
2.0,40.0,3.0,3.0,3.0,2.0,2.33,,5.0,4.0,4.0,40.0,7.0,7,5.0,1,1.0,1.0,7,47.0,0.0
,40.0,5.0,5.0,1.0,2.0,,,5.0,5.0,2.0,68.0,4.0,7,5.0,1,1.0,2.0,8,42.0,
2.0,40.0,3.0,3.0,2.0,2.0,3.33,,5.0,5.0,4.0,80.0,2.0,7,5.0,1,1.0,6.0,7,60.0,0.0
,40.0,5.0,5.0,1.0,1.0,,5.0,5.0,5.0,3.0,76.0,6.0,7,3.0,2,1.0,2.0,7,43.0,
2.0,40.0,3.0,3.0,1.0,2.0,5.0,,5.0,5.0,5.0,72.0,3.0,7,7.0,2,4.0,,4,30.0,0.0
,30.0,1.0,1.0,1.0,2.0,,5.0,5.0,4.0,5.0,80.0,4.0,7,5.0,2,1.0,1.0,9,45.0,
4.0,40.0,3.0,3.0,4.0,2.0,4.0,,3.0,5.0,4.0,64.0,6.0,7,2.0,1,2.0,1.0,7,33.0,1.0
2.0,45.0,3.0,4.0,2.0,2.0,4.33,,5.0,5.0,4.0,68.0,6.0,7,8.0,1,4.0,1.0,4,37.0,0.0
,50.0,1.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,4.0,56.0,8.0,7,7.0,2,6.0,1.0,4,34.0,
,40.0,3.0,4.0,2.0,2.0,3.67,,5.0,4.0,5.0,56.0,6.0,7,8.0,2,4.0,1.0,4,50.0,
2.0,40.0,5.0,3.0,3.0,1.0,1.67,3.0,3.0,2.0,4.0,56.0,8.0,7,3.0,2,1.0,6.0,8,47.0,0.0
,40.0,5.0,3.0,4.0,2.0,1.0,2.0,5.0,1.0,2.0,32.0,4.0,7,7.0,1,1.0,1.0,7,34.0,
4.0,40.0,3.0,1.0,1.0,2.0,1.33,5.0,5.0,4.0,5.0,40.0,4.0,7,3.0,1,1.0,1.0,7,51.0,1.0
,45.0,5.0,3.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,64.0,8.0,7,5.0,1,4.0,1.0,9,39.0,
2.0,40.0,4.0,2.0,1.0,2.0,,5.0,5.0,4.0,3.0,84.0,5.0,7,8.0,1,2.0,1.0,3,49.0,0.0
2.0,20.0,4.0,4.0,1.0,2.0,3.0,,5.0,5.0,5.0,84.0,3.0,7,5.0,2,1.0,2.0,7,31.0,0.0
2.0,40.0,5.0,5.0,3.0,2.0,2.33,4.0,4.0,3.0,5.0,56.0,8.0,7,5.0,1,1.0,1.0,7,48.0,0.0
